DATE,SLEEP SCORE,HOURS OF SLEEP,REM SLEEP,DEEP SLEEP,HEART RATE BELOW RESTING,SLEEP TIME
04/01/2022,90,7.37,18,21,98,9:49pm - 6:01am
04/02/2022,89,8.67,21,21,73,9:50pm - 7:26am
04/03/2022,81,8.87,21,17,26,11:29pm - 9:54am
04/04/2022,83,6.83,17,19,99,10:12pm - 5:49am
04/05/2022,84,6.95,18,21,97,9:45pm - 5:43am
04/06/2022,83,7.45,17,19,77,9:22pm - 6:14am
04/07/2022,87,7.95,22,14,68,10:05pm - 6:55am
04/08/2022,83,7.45,19,18,71,9:42pm - 6:36am
04/09/2022,87,8.2,19,15,71,11:27pm - 8:36am
04/10/2022,83,6.95,15,18,96,12:53am - 8:39am
04/11/2022,88,7.65,17,19,98,9:35pm - 6:02am
04/12/2022,86,8.0,20,19,73,9:52pm - 7:10am
04/13/2022,82,7.8,11,13,73,10:51pm - 8:02am
04/14/2022,83,7.32,19,23,77,9:35pm - 5:58am
04/15/2022,82,8.07,17,19,57,11:37pm - 8:52am
04/16/2022,90,9.65,21,17,96,9:43pm - 8:35am
04/17/2022,91,7.53,24,14,99,10:50pm - 7:21am
04/18/2022,89,7.98,17,18,95,10:14pm - 7:04am
04/19/2022,82,7.98,15,17,45,10:04pm - 7:08am
04/20/2022,75,6.9,20,15,9,12:37am - 8:42am
04/21/2022,93,7.98,22,24,99,10:36pm - 7:37am
04/22/2022,87,7.73,19,8,88,9:00pm - 5:54am
04/23/2022,79,7.92,8,12,57,10:10pm - 7:22am
04/24/2022,81,8.28,13,15,64,12:10am - 9:46am
04/25/2022,84,7.65,16,20,70,9:52pm - 6:55am
04/26/2022,85,7.3,22,14,100,9:32pm - 6:00am
04/27/2022,90,7.57,24,19,98,9:19pm - 5:49am
04/28/2022,87,6.9,21,22,90,10:02pm - 5:46am
04/29/2022,86,7.75,19,17,95,10:15pm - 7:24am
04/30/2022,89,7.18,22,18,75,11:08pm - 7:04am
12/01/2021,91,7.55,23,19,98,10:56pm - 7:20am
12/02/2021,81,7.28,16,13,94,10:45pm - 6:58am
12/03/2021,80,7.28,15,17,78,10:51pm - 7:02am
12/04/2021,85,8.38,20,15,58,9:53pm - 7:17am
12/05/2021,82,7.32,20,12,79,11:54pm - 8:16am
12/06/2021,80,7.3,18,16,56,11:28pm - 7:47am
12/07/2021,89,8.03,21,11,94,10:09pm - 7:18am
12/08/2021,85,6.78,22,16,94,11:40pm - 7:33
12/09/2021,85,7.53,12,14,96,10:47pm - 7:27am
